Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
TROSTBERG (SECONDARY),,	1917-09-21,,Operational,Unknown,Land (fixed),0-276-3-5111|primary,Europe,,Germany,48.031106,12.539575,560,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of middle altitude,21|580,GOS General:Operational,	2024-08-06,Marc Kinkeldey
TUERKHEIM (RADAR),,	1998-10-22,,Operational,Unknown,Land (fixed),0-20000-0-10832|primary,Europe,,Germany,48.585379,9.782675,735.6,,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;RSD (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Radar storm and meteorological phenomena detection.,,Cropland/Natural vegetation mosaic(Surface cover types (IGBP)),,A ridge at high relative elevation within hills of middle altitude,,"GOS General:Operational, WRO:Operational",	2024-01-12,Marc Kinkeldey
Torfhaus,,	2018-01-01,,Operational,Unknown,Land (fixed),0-20008-0-TOH|primary,Europe,,Germany,51.808844,10.53495,801,,UTC+1,,,https://www.dwd.de/DE/forschung/atmosphaerenbeob/zusammensetzung_atmosphaere/spurengase/inh_nav/klimagase_node.html,,Warm Temperate - Fully humid - Warm summer,,,,,"GAW Regional:Operational, ICOS:Operational",	2021-08-09,Matthias Lindauer
UECKERMUENDE,,	1890-06-01,,Operational,Operational,Land (fixed),0-20000-0-10193|primary,Europe,,Germany,53.744455,14.069809,1.06,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks.: AUT;C;CLIMAT(C);M/B;SKYRA;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Total radiation measurements.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within plains of very low altitude,17|198,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-26,Silvia Kothe
UFS DEUTSCHE BUCHT,GERMAN BIGHT,	1945-08-24,,Operational,Partly operational,Sea (fixed),0-20000-0-10007|primary,Europe,,Germany,54.179583,7.458717,0,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;L;SEATEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Water(Surface cover types (IGBP)),"Sea (open water, tidal flat, snow with fetch above 3 km",A flat (inapplicable) relative elevation (inapplicable) of very low altitude,0|2,GOS General:Operational,	2024-04-18,Marc Kinkeldey
UFS TW EMS,GW/EMS,	1945-08-24,,Operational,Partly operational,Sea (fixed),0-20000-0-10004|primary,Europe,,Germany,54.165071,6.346049,0,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;L;RBSN(S).;SEATEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Water(Surface cover types (IGBP)),"Sea (open water, tidal flat, snow with fetch above 3 km",A flat (inapplicable) relative elevation (inapplicable) of very low altitude,0|0,"GOS General:Operational, RBSN(S) - deprecated:Closed",	2023-07-03,Silvia Kothe
ULM-MAEHRINGEN,,	2014-05-15,,Operational,Operational,Land (fixed),0-20000-0-10840|primary,Europe,,Germany,48.441768,9.921613,592.57,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within valleys of middle altitude,166|1800,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-08,Silvia Kothe
UMMENDORF,,	1987-12-01,,Operational,Operational,Land (fixed),0-20000-0-10356|primary,Europe,,Germany,52.160112,11.175857,159.05,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RSD;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radar storm and meteorological phenomena detection; Snow survey.,Snow - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of low altitude,19|1401,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational, WRO:Operational",	2024-08-02,Silvia Kothe
VEILSDORF (SECONDARY),,	2007-03-23,,Operational,Unknown,Land (fixed),0-276-3-7428|primary,Europe,,Germany,50.41672,10.815607,397,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,,GOS General:Operational,	2024-08-13,Marc Kinkeldey
WACKEN (SECONDARY),,	2020-01-16,,Operational,Unknown,Land (fixed),0-276-3-19172|primary,Europe,,Germany,54.0246,9.387966,48,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,19|985,GOS General:Operational,	2024-03-12,Silvia Kothe
WAGHAEUSEL-KIRRLACH (SECONDARY),,	1936-12-13,,Operational,Unknown,Land (fixed),0-276-3-5275|primary,Europe,,Germany,49.244471,8.537434,104.5,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of low altitude,75|2520,GOS General:Operational,	2024-08-01,Silvia Kothe
WAIBSTADT,,	2007-03-08,,Operational,Operational,Land (fixed),0-20000-0-10733|primary,Europe,,Germany,49.294262,8.905286,236.63,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks.: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,75|3473,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-19,Silvia Kothe
WALDMUENCHEN,,	2006-07-31,,Operational,Operational,Land (fixed),0-20000-0-10782|primary,Europe,,Germany,49.390952,12.683802,498.85,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hills of middle altitude,12|410,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-16,Silvia Kothe
WALTROP-ABDINGHOF (SECONDARY),,	2007-07-18,,Operational,Unknown,Land (fixed),0-276-3-13696|primary,Europe,,Germany,51.596642,7.404843,60,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within hollows of very low altitude,,GOS General:Operational,	2024-08-01,Marc Kinkeldey
WARBURG,,	1974-06-19,,Operational,Partly operational,Land (fixed),0-20000-0-10435|primary,Europe,,Germany,51.50392,9.111774,235.8,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of low altitude,34|1306,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-08-02,Silvia Kothe
WAREN (MUERITZ),,	1889-07-01,,Operational,Operational,Land (fixed),0-20000-0-10268|primary,Europe,,Germany,53.519622,12.665404,72.61,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SEATEMP;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Snow - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of very low altitude,25|370,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-16,Silvia Kothe
WASSERKUPPE,,	1923-08-01,,Operational,Operational,Land (fixed),0-20000-0-10544|primary,Europe,,Germany,50.497265,9.942732,920.43,Survey,UTC+1,German Meteorological Service,,,Station running in full automated mode (AUT),Snow - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at high relative elevation within hills of middle altitude,16|811,"CLIMAT(C) - deprecated:Closed, GBON:Operational, GOS General:Operational, RBCN - deprecated:Closed, RBON:Operational",	2024-07-19,Silvia Kothe
WEIDEN/OBERPFALZ,,	1879-01-01,,Operational,Operational,Land (fixed),0-20000-0-10688|primary,Europe,,Germany,49.666221,12.184448,439.6,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RAD;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radiation measurements.,Snow - Fully humid - Warm summer,Closed (>40%) broadleaved deciduous forest (>5m)(Surface cover types (GlobCover2009)),,A slope at middle relative elevation within hollows of middle altitude,71|576,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-06-21,Marc Kinkeldey
WEIDENBACH (SECONDARY),,	1999-07-01,,Operational,Unknown,Land (fixed),0-276-3-6158|primary,Europe,,Germany,49.224877,10.608471,454,From map,UTC+1,German Meteorological Service,,,,Warm Temperate - Fully humid - Warm summer,Rainfed croplands(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,,GOS General:Operational,	2024-08-05,Marc Kinkeldey
WEIHENSTEPHAN-DUERNAST,,	1929-06-01,,Operational,Operational,Land (fixed),0-20000-0-10863|primary,Europe,,Germany,48.402404,11.694552,477.1,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;RAD;SOILTEMP (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Radiation measurements.,Snow - Fully humid - Warm summer,Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within rises of middle altitude,78|3078,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-15,Silvia Kothe
WEINBIET,,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-10724|primary,Europe,,Germany,49.375801,8.121233,552.5,Survey,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SKYRA;SNOW;SOILTEMP;SUNDUR;TOTRA (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Sky radiation measurements; Snow survey; Total radiation measurements.,Warm Temperate - Fully humid - Warm summer,Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)(Surface cover types (GlobCover2009)),,(unknown) at high relative elevation within hills of low altitude,102|3028,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-04,Marc Kinkeldey
WEISKIRCHEN/SAAR (SECONDARY),,	1956-04-19,,Operational,Unknown,Land (fixed),0-276-3-5433|primary,Europe,,Germany,49.553365,6.811951,383,From map,UTC+1,German Meteorological Service,,,,Snow - Fully humid - Warm summer,Mosaic grassland (50-70%) / forest or shrubland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of middle altitude,41|1486,GOS General:Operational,	2024-05-16,Silvia Kothe
WEISSENBURG-EMETZHEIM,,	1876-06-01,,Operational,Operational,Land (fixed),0-20000-0-10761|primary,Europe,,Germany,49.01153,10.930837,439.3,From map,UTC+1,German Meteorological Service,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AUT;CLIMAT(C);M/B;SNOW;SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes; Snow survey.,Warm Temperate - Fully humid - Warm summer,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)(Surface cover types (GlobCover2009))",,(unknown) at middle relative elevation within hills of middle altitude,41|1401,"CLIMAT(C) - deprecated:Closed, GCW affiliated station:Operational, GOS General:Operational",	2024-07-15,Silvia Kothe
